"","value","district","gender","age_group"
"427","No les alcanza y tienen grandes dificultades","10","Hombre","2"
"428","No les alcanza y tienen dificultades","10","Hombre","4"
"429","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"430","Les alcanza bien y pueden ahorrar","10","Mujer","2"
"431","No les alcanza y tienen dificultades","10","Mujer","2"
"432","Les alcanza justo, sin grandes dificultades","10","Mujer","4"
"433","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"434","Les alcanza bien y pueden ahorrar","10","Hombre","3"
"435","No les alcanza y tienen dificultades","10","Hombre","3"
"436","Les alcanza justo, sin grandes dificultades","10","Mujer","4"
"437","No les alcanza y tienen dificultades","10","Hombre","3"
"438","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"439","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"440","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"441","Les alcanza bien y pueden ahorrar","10","Mujer","4"
"442","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"443","No les alcanza y tienen dificultades","10","Hombre","1"
"444","No les alcanza y tienen dificultades","10","Mujer","2"
"445","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"446","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"447","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"448","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"449","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"450","No les alcanza y tienen dificultades","10","Mujer","3"
"451","No les alcanza y tienen dificultades","10","Mujer","2"
